main_app-1  | 2026-07-15 09:00:00,004 - apscheduler.executors.default - INFO - Running job "PostScheduler._post_to_channel (trigger: date[2026-07-15 12:00:00 UTC+03:00], next run at: 2026-07-15 12:00:00 UTC+03:00)" (scheduled at 2026-07-15 12:00:00+03:00)
main_app-1  | 2026-07-15 09:00:01,009 - bot.scheduler - INFO - Post 5600: Retrieved description='Тепло і запах багаття 🥰', entities=0
main_app-1  | 2026-07-15 09:00:01,010 - apscheduler.executors.default - INFO - Job "PostScheduler._post_to_channel (trigger: date[2026-07-15 12:00:00 UTC+03:00], next run at: 2026-07-15 12:00:00 UTC+03:00)" executed successfully
main_app-1  | 2026-07-15 09:03:11,966 - apscheduler.executors.default - INFO - Running job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 12:08:11 EEST)" (scheduled at 2026-07-15 12:03:11.963649+03:00)
main_app-1  | 2026-07-15 09:03:11,967 - bot.scheduler - INFO - Running scheduled post monitoring...
main_app-1  | 2026-07-15 09:03:11,970 - bot.scheduler - WARNING - Found 1 overdue posts
main_app-1  | 2026-07-15 09:03:11,971 - bot.scheduler - ERROR - Post 5600 has no scheduled job - rescheduling
main_app-1  | 2026-07-15 09:03:11,971 - apscheduler.scheduler - INFO - Added job "PostScheduler._post_to_channel" to job store "default"
main_app-1  | 2026-07-15 09:03:11,971 - bot.scheduler - INFO - Scheduled post 5600 for 2026-07-15 12:03:21.971172+03:00
main_app-1  | 2026-07-15 09:03:11,976 - bot.database - INFO - Updated scheduled time for post 5600 to 2026-07-15 12:03:21.971172+03:00
main_app-1  | 2026-07-15 09:03:12,097 - bot.scheduler - INFO - Post monitor completed. Active jobs: 117, Overdue posts: 1
main_app-1  | 2026-07-15 09:03:12,097 - apscheduler.executors.default - INFO - Job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 12:08:11 EEST)" executed successfully
main_app-1  | 2026-07-15 09:03:21,973 - apscheduler.scheduler - INFO - Removed job post_5600
main_app-1  | 2026-07-15 09:03:21,973 - apscheduler.executors.default - INFO - Running job "PostScheduler._post_to_channel (trigger: date[2026-07-15 12:03:21 EEST], next run at: 2026-07-15 12:03:21 EEST)" (scheduled at 2026-07-15 12:03:21.971172+03:00)
main_app-1  | 2026-07-15 09:03:22,975 - bot.scheduler - INFO - Post 5600: Retrieved description='Тепло і запах багаття 🥰', entities=0
main_app-1  | 2026-07-15 09:03:22,975 - apscheduler.executors.default - INFO - Job "PostScheduler._post_to_channel (trigger: date[2026-07-15 12:03:21 EEST], next run at: 2026-07-15 12:03:21 EEST)" executed successfully
main_app-1  | 2026-07-15 09:08:11,964 - apscheduler.executors.default - INFO - Running job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 12:13:11 EEST)" (scheduled at 2026-07-15 12:08:11.963649+03:00)
